,Naam,Leeftijd,Positie,Minuten gespeeld,Aantal gespeeld,Doelpunten,Assists,clean sheets,tegendoelpunten per 90 min,Doelpunten betrokken,Gele kaarten,Rode kaarten,minuten per kaart
237,Jack Wilshere,30,Midfielder,389,8,0,1,2,1.85,0.23,2,0,195
242,James Maddison,25,Midfielder,2850,36,7,7,8,1.23,0.44,5,1,570
245,James Milner,36,Midfielder,1785,31,5,4,18,0.55,0.45,7,1,255
250,Jamie Vardy,34,Forward,2735,34,18,4,10,1.09,0.72,4,1,547
252,Jan Vertonghen,34,Defender,1915,22,1,0,7,0.99,0.05,5,1,383
256,Javier Hernandez,33,Forward,1335,25,7,1,3,1.08,0.54,2,0,668
265,Jesse Lingard,29,Midfielder,1668,27,4,2,6,1.35,0.32,3,0,556
266,João Moutinho,35,Midfielder,3040,38,1,8,9,1.1,0.27,4,0,760
270,Joe Gomez,24,Defender,1060,16,0,0,11,0.25,0.0,2,0,530
275,Joel Matip,30,Defender,1532,22,1,0,11,0.53,0.06,3,0,511
279,John Stones,27,Defender,1762,24,0,0,13,0.77,0.0,1,0,1762
285,Jonjoe Kenny,24,Defender,790,10,0,1,2,1.59,0.11,1,0,790
286,Jonny,27,Defender,2780,33,1,1,8,1.17,0.06,6,0,463
287,Jonny Evans,34,Defender,1995,24,1,0,8,0.99,0.05,2,0,998
289,Jordan Henderson,31,Midfielder,1983,32,1,3,19,0.5,0.18,3,1,661
290,Jordan Pickford,27,Goalkeeper,3420,38,0,0,14,1.16,0.0,1,0,3420
292,Jorginho,30,Midfielder,3165,37,2,0,16,1.02,0.06,8,0,396
293,José Diogo Dalot Teixeira,22,Defender,1015,16,0,2,2,1.6,0.18,3,0,338
303,Juan Marcos Foyth,24,Defender,930,12,1,0,4,0.97,0.1,4,1,186
304,Juan Mata,33,Midfielder,1294,22,3,2,4,0.97,0.35,3,0,431
312,Kasper Schmeichel,35,Goalkeeper,3420,38,0,0,10,1.13,0.0,3,0,1140
315,Kelechi Iheanacho,25,Forward,926,30,1,3,6,1.07,0.39,2,0,463
319,Kepa Arrizabalaga,27,Goalkeeper,3240,36,0,0,14,1.06,0.0,2,0,1620
320,Kevin De Bruyne,30,Midfielder,974,19,2,2,12,0.28,0.37,2,0,487
324,Kieran Trippier,31,Defender,2278,27,1,3,10,0.79,0.16,2,0,1139
325,Konstantinos Mavropanos,24,Defender,150,4,0,0,1,0.6,0.0,1,0,150
327,Kurt Zouma,27,Defender,2610,32,2,2,11,1.28,0.14,5,1,522
329,Kyle Walker,31,Defender,2777,33,1,1,18,0.55,0.06,3,0,926
330,Kyle Walker-Peters,24,Defender,374,6,0,3,3,0.96,0.72,1,0,374
332,Laurent Koscielny,36,Defender,1328,17,3,0,4,1.42,0.2,1,0,1328
334,Leander Dendoncker,26,Midfielder,1469,19,2,0,4,1.16,0.12,1,0,1469
338,Leighton Baines,37,Defender,376,6,0,0,1,1.44,0.0,0,0,0
340,Leonardo Bonatini Lohner Maia,27,Forward,128,7,0,1,3,0.0,0.7,0,0,0
341,Leroy Sané,26,Midfielder,1867,31,10,10,16,0.67,0.96,1,0,1867
348,Lucas Digne,28,Defender,2990,35,4,4,14,1.08,0.24,6,1,427
349,Lucas Perez,33,Forward,468,15,3,0,3,1.73,0.58,0,0,0
350,Lucas Rodrigues Moura da Silva,29,Midfielder,2127,32,10,0,12,0.68,0.42,3,0,709
351,Lucas Torreira,25,Midfielder,2377,34,2,2,6,1.33,0.15,8,1,264
356,Luke Shaw,26,Defender,2592,29,1,4,6,1.25,0.17,11,0,236
361,Manuel Lanzini,28,Midfielder,688,10,1,1,2,1.44,0.26,2,0,344
362,Marc Albrighton,32,Midfielder,1626,27,2,2,9,0.94,0.22,3,0,542
366,Marcos Alonso,31,Defender,2761,31,2,4,14,0.91,0.2,6,0,460
368,Marcus Rashford,24,Forward,2362,33,10,6,6,1.3,0.61,4,1,472
370,Mark Noble,34,Midfielder,2308,31,5,5,7,1.13,0.39,7,1,289
372,Marko Arnautović,32,Forward,2000,28,10,4,5,1.4,0.63,3,0,667
374,Marouane Fellaini,34,Midfielder,744,14,0,1,2,1.57,0.12,1,0,744
378,Mason Greenwood,20,Midfielder,115,3,0,0,0,1.57,0.0,0,0,0
379,Mason Holgate,25,Defender,407,5,0,0,0,1.99,0.0,1,0,407
381,Mateo Kovačić,27,Midfielder,1743,32,0,2,12,0.93,0.1,3,0,581
385,Matt Doherty,29,Defender,3147,38,4,5,9,1.09,0.26,5,0,629
388,Matteo Darmian,32,Defender,443,6,0,0,1,1.42,0.0,0,0,0
389,Mattéo Guendouzi Olié,22,Midfielder,2143,33,0,0,4,1.18,0.0,9,0,238
398,Mesut Özil,33,Midfielder,1741,24,5,2,6,1.19,0.36,2,0,871
399,Michael Keane,29,Defender,2970,33,1,2,13,1.12,0.09,2,0,1485
401,Michail Antonio,31,Midfielder,2099,33,6,4,5,1.11,0.43,3,0,700
402,Michel Vorm,38,Goalkeeper,180,2,0,0,0,2.0,0.0,0,0,0
407,Mohamed Elneny,29,Midfielder,381,8,0,0,2,0.94,0.0,0,0,0
409,Mohamed Salah,29,Forward,3262,38,22,8,21,0.5,0.83,1,0,3262
410,Morgan Gibbs-White,21,Midfielder,647,26,0,1,5,1.25,0.14,1,0,647
411,Morgan Schneiderlin,32,Midfielder,833,14,0,1,7,0.97,0.11,2,0,417
